mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	2	4/4	1	0						firstMeasure	2
2	2	2	2	4/4	1	0							3
3	3	3	2	4/4	1	0							4
4	4	4	2	4/4	1	0							5
5	5	5	2	4/4	1	0							6
6	6	6	2	4/4	1	0							7
7	7	7	2	4/4	1	0							8
8	8	8	2	4/4	1	0							9
9	9	9	2	4/4	1	0							10
10	10	10	2	4/4	1	0							11
11	11	11	2	4/4	1	0							12
12	12	12	2	4/4	1	0							13
13	13	13	2	4/4	1	0							14
14	14	14	2	4/4	1	0							15
15	15	15	2	4/4	1	0							16
16	16	16	2	4/4	1	0							17
17	17	17	2	4/4	1	0							18
18	18	18	2	4/4	1	0							19
19	19	19	2	4/4	1	0							20
20	20	20	2	4/4	1	0							21
21	21	21	2	4/4	1	0							22
22	22	22	2	4/4	1	0							23
23	23	23	2	4/4	1	0							24
24	24	24	2	4/4	1	0							25
25	25	25	2	4/4	1	0							26
26	26	26	2	4/4	1	0							27
27	27	27	2	4/4	1	0							28
28	28	28	2	4/4	1	0							29
29	29	29	2	4/4	1	0							30
30	30	30	2	4/4	1	0							31
31	31	31	2	4/4	1	0							32
32	32	32	2	4/4	1	0							33
33	33	33	2	4/4	1	0							34
34	34	34	2	4/4	1	0							35
35	35	35	2	4/4	1	0							36
36	36	36	2	4/4	1	0							37
37	37	37	2	4/4	1	0							38
38	38	38	2	4/4	1	0							39
39	39	39	2	4/4	1	0						end	1, 40
1	1	40	2	4/4	1	0						firstMeasure	2
2	2	41	2	4/4	1	0							3
3	3	42	2	4/4	1	0							4
4	4	43	2	4/4	1	0							5
5	5	44	2	4/4	1	0							6
6	6	45	2	4/4	1	0							7
7	7	46	2	4/4	1	0							8
8	8	47	2	4/4	1	0							9
9	9	48	2	4/4	1	0							10
10	10	49	2	4/4	1	0							11
11	11	50	2	4/4	1	0							12
12	12	51	2	4/4	1	0							13
13	13	52	2	4/4	1	0							14
14	14	53	2	4/4	1	0							15
15	15	54	2	4/4	1	0							16
16	16	55	2	4/4	1	0							17
17	17	56	2	4/4	1	0							18
18	18	57	2	4/4	1	0							19
19	19	58	2	4/4	1	0							20
20	20	59	2	4/4	1	0							21
21	21	60	2	4/4	1	0							22
22	22	61	2	4/4	1	0							23
23	23	62	2	4/4	1	0							24
24	24	63	2	4/4	1	0							25
25	25	64	2	4/4	1	0							26
26	26	65	2	4/4	1	0							27
27	27	66	2	4/4	1	0							28
28	28	67	2	4/4	1	0							29
29	29	68	2	4/4	1	0							30
30	30	69	2	4/4	1	0							31
31	31	70	2	4/4	1	0							32
32	32	71	2	4/4	1	0							33
33	33	72	2	4/4	1	0							34
34	34	73	2	4/4	1	0							35
35	35	74	2	4/4	1	0							36
36	36	75	2	4/4	1	0							37
37	37	76	2	4/4	1	0							38
38	38	77	2	4/4	1	0							39
39	39	78	2	4/4	1	0						end	1, 40
40	40	79	2	4/4	1	0				start-repeat		start	41
41	41	80	2	4/4	1	0							42
42	42	81	2	4/4	1	0							43
