mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	-3	3/4	3/4	0						firstMeasure	2
2	2	2	-3	3/4	3/4	0							3
3	3	3	-3	3/4	3/4	0							4
4	4	4	-3	3/4	3/4	0							5
5	5	5	-3	3/4	3/4	0							6
6	6	6	-3	3/4	3/4	0							7
7	7	7	-3	3/4	3/4	0							8
8	8	8	-3	3/4	3/4	0							9
9	9	9	-3	3/4	3/4	0							10
10	10	10	-3	3/4	3/4	0							11
11	11	11	-3	3/4	3/4	0							12
12	12	12	-3	3/4	3/4	0							13
13	13	13	-3	3/4	3/4	0							14
14	14	14	-3	3/4	3/4	0							15
15	15	15	-3	3/4	3/4	0							16
16	16	16	-3	3/4	3/4	0							17
17	17	17	-3	3/4	3/4	0							18
18	18	18	-3	3/4	3/4	0							19
19	19	19	-3	3/4	3/4	0							20
20	20	20	-3	3/4	3/4	0							21
21	21	21	-3	3/4	3/4	0							22
22	22	22	-3	3/4	3/4	0							23
23	23	23	-3	3/4	3/4	0							24
24	24	24	-3	3/4	3/4	0							25
25	25	25	-3	3/4	3/4	0							26
26	26	26	-3	3/4	3/4	0							27
27	27	27	-3	3/4	3/4	0							28
28	28	28	-3	3/4	3/4	0							29
29	29	29	-3	3/4	3/4	0							30
30	30	30	-3	3/4	3/4	0							31
31	31	31	-3	3/4	3/4	0						end	1, 32
1	1	32	-3	3/4	3/4	0						firstMeasure	2
2	2	33	-3	3/4	3/4	0							3
3	3	34	-3	3/4	3/4	0							4
4	4	35	-3	3/4	3/4	0							5
5	5	36	-3	3/4	3/4	0							6
6	6	37	-3	3/4	3/4	0							7
7	7	38	-3	3/4	3/4	0							8
8	8	39	-3	3/4	3/4	0							9
9	9	40	-3	3/4	3/4	0							10
10	10	41	-3	3/4	3/4	0							11
11	11	42	-3	3/4	3/4	0							12
12	12	43	-3	3/4	3/4	0							13
13	13	44	-3	3/4	3/4	0							14
14	14	45	-3	3/4	3/4	0							15
15	15	46	-3	3/4	3/4	0							16
16	16	47	-3	3/4	3/4	0							17
17	17	48	-3	3/4	3/4	0							18
18	18	49	-3	3/4	3/4	0							19
19	19	50	-3	3/4	3/4	0							20
20	20	51	-3	3/4	3/4	0							21
21	21	52	-3	3/4	3/4	0							22
22	22	53	-3	3/4	3/4	0							23
23	23	54	-3	3/4	3/4	0							24
24	24	55	-3	3/4	3/4	0							25
25	25	56	-3	3/4	3/4	0							26
26	26	57	-3	3/4	3/4	0							27
27	27	58	-3	3/4	3/4	0							28
28	28	59	-3	3/4	3/4	0							29
