mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	-3	4/4	1	0						firstMeasure	2
2	2	2	-3	4/4	1	0							3
3	3	3	-3	4/4	1	0					line		4
4	4	4	-3	4/4	1	0							5
5	5	5	-3	4/4	1	0							6
6	6	6	-3	4/4	1	0					line		7
7	7	7	-3	4/4	1	0							8
8	8	8	-3	4/4	1	0							9
9	9	9	-3	4/4	1	0					line		10
10	10	10	-3	4/4	1	0							11
11	11	11	-3	4/4	1	0					line		12
12	12	12	-3	4/4	1	0							13
13	13	13	-3	4/4	1	0					line		14
14	14	14	-3	4/4	1	0							15
15	15	15	-3	4/4	1	0					line	end	1, 16
1	1	16	-3	4/4	1	0						firstMeasure	2
2	2	17	-3	4/4	1	0							3
3	3	18	-3	4/4	1	0					line		4
4	4	19	-3	4/4	1	0							5
5	5	20	-3	4/4	1	0							6
6	6	21	-3	4/4	1	0					line		7
7	7	22	-3	4/4	1	0							8
8	8	23	-3	4/4	1	0							9
9	9	24	-3	4/4	1	0					line		10
10	10	25	-3	4/4	1	0							11
11	11	26	-3	4/4	1	0					line		12
12	12	27	-3	4/4	1	0							13
13	13	28	-3	4/4	1	0					line		14
14	14	29	-3	4/4	1	0							15
15	15	30	-3	4/4	1	0					line	end	1, 16
16	16	31	-3	4/4	1	0				start-repeat		start	17
17	17	32	-3	4/4	1	0							18
18	18	33	-3	4/4	1	0					line		19
19	19	34	-3	4/4	1	0							20
20	20	35	-3	4/4	1	0					line		21
21	21	36	-3	4/4	1	0							22
22	22	37	-3	4/4	1	0					line		23
23	23	38	-3	4/4	1	0							24
24	24	39	-3	4/4	1	0					line		25
25	25	40	-3	4/4	1	0							26
26	26	41	-3	4/4	1	0					line		27
27	27	42	-3	4/4	1	0							28
28	28	43	-3	4/4	1	0					line		29
29	29	44	-3	4/4	1	0							30
30	30	45	-3	4/4	1	0					line		31
31	31	46	-3	4/4	1	0					line		32
32	32	47	-3	4/4	1	0							33
33	33	48	-3	4/4	1	0					line	end	16, 34
16	16	49	-3	4/4	1	0				start-repeat		start	17
17	17	50	-3	4/4	1	0							18
18	18	51	-3	4/4	1	0					line		19
19	19	52	-3	4/4	1	0							20
20	20	53	-3	4/4	1	0					line		21
21	21	54	-3	4/4	1	0							22
22	22	55	-3	4/4	1	0					line		23
23	23	56	-3	4/4	1	0							24
24	24	57	-3	4/4	1	0					line		25
25	25	58	-3	4/4	1	0							26
26	26	59	-3	4/4	1	0					line		27
27	27	60	-3	4/4	1	0							28
28	28	61	-3	4/4	1	0					line		29
29	29	62	-3	4/4	1	0							30
30	30	63	-3	4/4	1	0					line		31
31	31	64	-3	4/4	1	0					line		32
32	32	65	-3	4/4	1	0							33
33	33	66	-3	4/4	1	0					line	end	16, 34
34	34	67	-3	4/4	1	0							35
35	35	68	-3	4/4	1	0							36
36	36	69	-3	4/4	1	0				end		lastMeasure	-1
