mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	-3	4/4	1	0						firstMeasure	2
2	2	2	-3	4/4	1	0							3
3	3	3	-3	4/4	1	0							4
4	4	4	-3	4/4	1	0						end	1, 5
1	1	5	-3	4/4	1	0						firstMeasure	2
2	2	6	-3	4/4	1	0							3
3	3	7	-3	4/4	1	0							4
4	4	8	-3	4/4	1	0						end	1, 5
5	5	9	-3	4/4	1	0						start	6
6	6	10	-3	4/4	1	0							7
7	7	11	-3	4/4	1	0							8
8	8	12	-3	4/4	1	0							9
9	9	13	-3	4/4	1	0							10
10	10	14	-3	4/4	1	0							11
11	11	15	-3	4/4	1	0							12
12	12	16	-3	4/4	1	0						end	5, 13
5	5	17	-3	4/4	1	0						start	6
6	6	18	-3	4/4	1	0							7
7	7	19	-3	4/4	1	0							8
8	8	20	-3	4/4	1	0							9
9	9	21	-3	4/4	1	0							10
10	10	22	-3	4/4	1	0							11
11	11	23	-3	4/4	1	0							12
12	12	24	-3	4/4	1	0						end	5, 13
13	13	25	-3	4/4	1	0						start	14
14	14	26	-3	4/4	1	0							15
15	15	27	-3	4/4	1	0							16
16	16	28	-3	4/4	1	0						end	13, 17
13	13	29	-3	4/4	1	0						start	14
14	14	30	-3	4/4	1	0							15
15	15	31	-3	4/4	1	0							16
16	16	32	-3	4/4	1	0						end	13, 17
17	17	33	-3	4/4	1	0						start	18
18	18	34	-3	4/4	1	0							19
19	19	35	-3	4/4	1	0							20
20	20	36	-3	4/4	1	0							21
21	21	37	-3	4/4	1	0							22
22	22	38	-3	4/4	1	0							23
23	23	39	-3	4/4	1	0							24, 25
24	24	40	-3	4/4	1	0	1					end	17
17	17	41	-3	4/4	1	0						start	18
18	18	42	-3	4/4	1	0							19
19	19	43	-3	4/4	1	0							20
20	20	44	-3	4/4	1	0							21
21	21	45	-3	4/4	1	0							22
22	22	46	-3	4/4	1	0							23
23	23	47	-3	4/4	1	0							24, 25
25	24	47	-3	4/4	1	0	2		1				26
26	25	48	-3	4/4	1	0							27
27	26	49	-3	4/4	1	0							28
28	27	50	-3	4/4	1	0							29
29	28	51	-3	4/4	1	0							30
30	29	52	-3	4/4	1	0							31
31	30	53	-3	4/4	1	0							32
32	31	54	-3	4/4	1	0							33
33	32	55	-3	4/4	1	0				start-repeat		start	34
34	33	56	-3	4/4	1	0							35
35	34	57	-3	4/4	1	0							36
36	35	58	-3	4/4	1	0						end	33, 37
33	32	59	-3	4/4	1	0				start-repeat		start	34
34	33	60	-3	4/4	1	0							35
35	34	61	-3	4/4	1	0							36
36	35	62	-3	4/4	1	0						end	33, 37
37	36	63	-3	4/4	1	0				start-repeat		start	38
38	37	64	-3	4/4	1	0							39
39	38	65	-3	4/4	1	0							40
40	39	66	-3	4/4	1	0						end	37, 41
37	36	67	-3	4/4	1	0				start-repeat		start	38
38	37	68	-3	4/4	1	0							39
39	38	69	-3	4/4	1	0							40
40	39	70	-3	4/4	1	0						end	37, 41
41	40	71	-3	4/4	1	0							42
42	41	72	-3	4/4	1	0							43
43	42	73	-3	4/4	1	0							44
44	43	74	-3	4/4	1	0							45
45	44	75	-3	4/4	1	0							46
46	45	76	-3	4/4	1	0							47
47	46	77	-3	4/4	1	0							48
48	47	78	-3	4/4	1	0							49
49	48	79	-3	4/4	1	0							50
50	49	80	-3	4/4	1	0							51
51	50	81	-3	4/4	1	0							52
52	51	82	-3	4/4	1	0							53
53	52	83	-3	4/4	1	0							54
54	53	84	-3	4/4	1	0							55
55	54	85	-3	4/4	1	0							56
56	55	86	-3	4/4	1	0				end		lastMeasure	-1
