mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	-1	2/2	1/4	3/4			1			firstMeasure	2
2	1	1	-1	2/2	1	0							3
3	2	2	-1	2/2	1	0							4
4	3	3	-1	2/2	1	0							5
5	4	4	-1	2/2	1	0							6
6	5	5	-1	2/2	1	0							7
7	6	6	-1	2/2	1	0							8
8	7	7	-1	2/2	1	0							9
9	8	8	-1	2/2	1	0							10
10	9	9	-1	2/2	1	0							11
11	10	10	-1	2/2	1	0							12
12	11	11	-1	2/2	1	0							13
13	12	12	-1	2/2	1	0							14
14	13	13	-1	2/2	1	0							15
15	14	14	-1	2/2	1	0							16
16	15	15	-1	2/2	1	0							17
17	16	16	-1	2/2	1	0							18
18	17	17	-1	2/2	1	0							19
19	18	18	-1	2/2	1	0							20
20	19	19	-1	2/2	1	0							21
21	20	20	-1	2/2	1	0							22
22	21	21	-1	2/2	1	0							23
23	22	22	-1	2/2	1	0							24
24	23	23	-1	2/2	1	0							25
25	24	24	-1	2/2	1	0							26
26	25	25	-1	2/2	1	0							27
27	26	26	-1	2/2	1	0							28
28	27	27	-1	2/2	1	0							29
29	28	28	-1	2/2	1	0							30
30	29	29	-1	2/2	1	0							31
31	30	30	-1	2/2	1	0							32
32	31	31	-1	2/2	1	0							33
33	32	32	-1	2/2	1	0							34
34	33	33	-1	2/2	1	0							35
35	34	34	-1	2/2	1	0							36
36	35	35	-1	2/2	1	0							37
37	36	36	-1	2/2	1	0							38
38	37	37	-1	2/2	1	0							39
39	38	38	-1	2/2	1	0							40
40	39	39	-1	2/2	1	0							41
41	40	40	-1	2/2	1	0							42
42	41	41	-1	2/2	1	0							43
43	42	42	-1	2/2	1	0							44
44	43	43	-1	2/2	1	0							45
45	44	44	-1	2/2	1	0							46
46	45	45	-1	2/2	1	0							47
47	46	46	-1	2/2	1	0							48
48	47	47	-1	2/2	1	0							49
49	48	48	-1	2/2	1	0							50
50	49	49	-1	2/2	1	0							51
51	50	50	-1	2/2	1	0							52
52	51	51	-1	2/2	1	0							53
53	52	52	-1	2/2	1	0							54
54	53	53	-1	2/2	1	0							55
55	54	54	-1	2/2	1	0							56
56	55	55	-1	2/2	1	0							57
57	56	56	-1	2/2	1	0							58
58	57	57	-1	2/2	1	0							59
59	58	58	-1	2/2	1	0							60
60	59	59	-1	2/2	1	0							61
61	60	60	-1	2/2	1	0							62
62	61	61	-1	2/2	1	0							63
63	62	62	-1	2/2	1	0							64
64	63	63	-1	2/2	1	0							65
65	64	64	-1	2/2	1	0							66
66	65	65	-1	2/2	1	0							67
67	66	66	-1	2/2	1	0							68
68	67	67	-1	2/2	1	0							69
69	68	68	-1	2/2	1	0							70
70	69	69	-1	2/2	1	0							71
71	70	70	-1	2/2	1	0							72
72	71	71	-1	2/2	1	0							73
73	72	72	-1	2/2	1	0							74
74	73	73	-1	2/2	1	0							75
75	74	74	-1	2/2	1	0							76
76	75	75	-1	2/2	1	0							77
77	76	76	-1	2/2	1	0							78
78	77	77	-1	2/2	1	0							79
79	78	78	-1	2/2	1	0							80
80	79	79	-1	2/2	1	0							81
81	80	80	-1	2/2	1	0							82
82	81	81	-1	2/2	1	0							83
83	82	82	-1	2/2	1	0							84
84	83	83	-1	2/2	1	0							85
85	84	84	-1	2/2	1	0							86
86	85	85	-1	2/2	1	0							87
87	86	86	-1	2/2	1	0							88
88	87	87	-1	2/2	1	0							89
89	88	88	-1	2/2	1	0							90
90	89	89	-1	2/2	1	0							91
91	90	90	-1	2/2	1	0							92
92	91	91	-1	2/2	1	0							93
93	92	92	-1	2/2	1	0							94
94	93	93	-1	2/2	1	0							95
95	94	94	-1	2/2	1	0							96
96	95	95	-1	2/2	1	0							97
97	96	96	-1	2/2	1	0							98
98	97	97	-1	2/2	1	0							99
99	98	98	-1	2/2	1	0							100
100	99	99	-1	2/2	1	0							101
101	100	100	-1	2/2	1	0							102
102	101	101	-1	2/2	1	0							103
103	102	102	-1	2/2	3/4	0						end	1, 104
1	0	102	-1	2/2	1/4	3/4			1			firstMeasure	2
2	1	103	-1	2/2	1	0							3
3	2	104	-1	2/2	1	0							4
4	3	105	-1	2/2	1	0							5
5	4	106	-1	2/2	1	0							6
6	5	107	-1	2/2	1	0							7
7	6	108	-1	2/2	1	0							8
8	7	109	-1	2/2	1	0							9
9	8	110	-1	2/2	1	0							10
10	9	111	-1	2/2	1	0							11
11	10	112	-1	2/2	1	0							12
12	11	113	-1	2/2	1	0							13
13	12	114	-1	2/2	1	0							14
14	13	115	-1	2/2	1	0							15
15	14	116	-1	2/2	1	0							16
16	15	117	-1	2/2	1	0							17
17	16	118	-1	2/2	1	0							18
18	17	119	-1	2/2	1	0							19
19	18	120	-1	2/2	1	0							20
20	19	121	-1	2/2	1	0							21
21	20	122	-1	2/2	1	0							22
22	21	123	-1	2/2	1	0							23
23	22	124	-1	2/2	1	0							24
24	23	125	-1	2/2	1	0							25
25	24	126	-1	2/2	1	0							26
26	25	127	-1	2/2	1	0							27
27	26	128	-1	2/2	1	0							28
28	27	129	-1	2/2	1	0							29
29	28	130	-1	2/2	1	0							30
30	29	131	-1	2/2	1	0							31
31	30	132	-1	2/2	1	0							32
32	31	133	-1	2/2	1	0							33
33	32	134	-1	2/2	1	0							34
34	33	135	-1	2/2	1	0							35
35	34	136	-1	2/2	1	0							36
36	35	137	-1	2/2	1	0							37
37	36	138	-1	2/2	1	0							38
38	37	139	-1	2/2	1	0							39
39	38	140	-1	2/2	1	0							40
40	39	141	-1	2/2	1	0							41
41	40	142	-1	2/2	1	0							42
42	41	143	-1	2/2	1	0							43
43	42	144	-1	2/2	1	0							44
44	43	145	-1	2/2	1	0							45
45	44	146	-1	2/2	1	0							46
46	45	147	-1	2/2	1	0							47
47	46	148	-1	2/2	1	0							48
48	47	149	-1	2/2	1	0							49
49	48	150	-1	2/2	1	0							50
50	49	151	-1	2/2	1	0							51
51	50	152	-1	2/2	1	0							52
52	51	153	-1	2/2	1	0							53
53	52	154	-1	2/2	1	0							54
54	53	155	-1	2/2	1	0							55
55	54	156	-1	2/2	1	0							56
56	55	157	-1	2/2	1	0							57
57	56	158	-1	2/2	1	0							58
58	57	159	-1	2/2	1	0							59
59	58	160	-1	2/2	1	0							60
60	59	161	-1	2/2	1	0							61
61	60	162	-1	2/2	1	0							62
62	61	163	-1	2/2	1	0							63
63	62	164	-1	2/2	1	0							64
64	63	165	-1	2/2	1	0							65
65	64	166	-1	2/2	1	0							66
66	65	167	-1	2/2	1	0							67
67	66	168	-1	2/2	1	0							68
68	67	169	-1	2/2	1	0							69
69	68	170	-1	2/2	1	0							70
70	69	171	-1	2/2	1	0							71
71	70	172	-1	2/2	1	0							72
72	71	173	-1	2/2	1	0							73
73	72	174	-1	2/2	1	0							74
74	73	175	-1	2/2	1	0							75
75	74	176	-1	2/2	1	0							76
76	75	177	-1	2/2	1	0							77
77	76	178	-1	2/2	1	0							78
78	77	179	-1	2/2	1	0							79
79	78	180	-1	2/2	1	0							80
80	79	181	-1	2/2	1	0							81
81	80	182	-1	2/2	1	0							82
82	81	183	-1	2/2	1	0							83
83	82	184	-1	2/2	1	0							84
84	83	185	-1	2/2	1	0							85
85	84	186	-1	2/2	1	0							86
86	85	187	-1	2/2	1	0							87
87	86	188	-1	2/2	1	0							88
88	87	189	-1	2/2	1	0							89
89	88	190	-1	2/2	1	0							90
90	89	191	-1	2/2	1	0							91
91	90	192	-1	2/2	1	0							92
92	91	193	-1	2/2	1	0							93
93	92	194	-1	2/2	1	0							94
94	93	195	-1	2/2	1	0							95
95	94	196	-1	2/2	1	0							96
96	95	197	-1	2/2	1	0							97
97	96	198	-1	2/2	1	0							98
98	97	199	-1	2/2	1	0							99
99	98	200	-1	2/2	1	0							100
100	99	201	-1	2/2	1	0							101
101	100	202	-1	2/2	1	0							102
102	101	203	-1	2/2	1	0							103
103	102	204	-1	2/2	3/4	0						end	1, 104
104	102	204	-1	2/2	1/4	3/4			1			start	105
105	103	205	-1	2/2	1	0							106
106	104	206	-1	2/2	1	0							107
107	105	207	-1	2/2	1	0							108
108	106	208	-1	2/2	1	0							109
109	107	209	-1	2/2	1	0							110
110	108	210	-1	2/2	1	0							111
111	109	211	-1	2/2	1	0							112
112	110	212	-1	2/2	1	0							113
113	111	213	-1	2/2	1	0							114
114	112	214	-1	2/2	1	0							115
115	113	215	-1	2/2	1	0							116
116	114	216	-1	2/2	1	0							117
117	115	217	-1	2/2	1	0							118
118	116	218	-1	2/2	1	0							119
119	117	219	-1	2/2	1	0							120
120	118	220	-1	2/2	1	0							121
121	119	221	-1	2/2	1	0							122
122	120	222	-1	2/2	1	0							123
123	121	223	-1	2/2	1	0							124
124	122	224	-1	2/2	1	0							125
125	123	225	-1	2/2	1	0							126
126	124	226	-1	2/2	1	0							127
127	125	227	-1	2/2	1	0							128
128	126	228	-1	2/2	1	0							129
129	127	229	-1	2/2	1	0							130
130	128	230	-1	2/2	1	0							131
131	129	231	-1	2/2	1	0							132
132	130	232	-1	2/2	1	0							133
133	131	233	-1	2/2	1	0							134
134	132	234	-1	2/2	1	0							135
135	133	235	-1	2/2	1	0							136
136	134	236	-1	2/2	1	0							137
137	135	237	-1	2/2	1	0							138
138	136	238	-1	2/2	1	0							139
139	137	239	-1	2/2	1	0							140
140	138	240	-1	2/2	1	0							141
141	139	241	-1	2/2	1	0							142
142	140	242	-1	2/2	1	0							143
143	141	243	-1	2/2	1	0							144
144	142	244	-1	2/2	1	0							145
145	143	245	-1	2/2	1	0							146
146	144	246	-1	2/2	1	0							147
147	145	247	-1	2/2	1	0							148
148	146	248	-1	2/2	1	0							149
149	147	249	-1	2/2	1	0							150
150	148	250	-1	2/2	1	0							151
151	149	251	-1	2/2	1	0							152
152	150	252	-1	2/2	1	0							153
153	151	253	-1	2/2	1	0							154
154	152	254	-1	2/2	1	0							155
155	153	255	-1	2/2	1	0							156
156	154	256	-1	2/2	1	0							157
157	155	257	-1	2/2	1	0							158
158	156	258	-1	2/2	1	0							159
159	157	259	-1	2/2	1	0							160
160	158	260	-1	2/2	1	0							161
161	159	261	-1	2/2	1	0							162
162	160	262	-1	2/2	1	0							163
163	161	263	-1	2/2	1	0							164
164	162	264	-1	2/2	1	0							165
165	163	265	-1	2/2	1	0							166
166	164	266	-1	2/2	1	0							167
167	165	267	-1	2/2	1	0							168
168	166	268	-1	2/2	1	0							169
169	167	269	-1	2/2	1	0							170
170	168	270	-1	2/2	1	0							171
171	169	271	-1	2/2	1	0							172
172	170	272	-1	2/2	1	0							173
173	171	273	-1	2/2	1	0							174
174	172	274	-1	2/2	1	0							175
175	173	275	-1	2/2	1	0							176
176	174	276	-1	2/2	1	0							177
177	175	277	-1	2/2	1	0							178
178	176	278	-1	2/2	1	0							179
179	177	279	-1	2/2	1	0							180
180	178	280	-1	2/2	1	0							181
181	179	281	-1	2/2	1	0							182
182	180	282	-1	2/2	1	0							183
183	181	283	-1	2/2	1	0							184
184	182	284	-1	2/2	1	0							185
