mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	-3	4/4	1	0						firstMeasure	2
2	2	2	-3	4/4	1	0							3
3	3	3	-3	4/4	1	0							4
4	4	4	-3	4/4	1	0							5
5	5	5	-3	4/4	1	0							6
6	6	6	-3	4/4	1	0							7
7	7	7	-3	4/4	1	0							8
8	8	8	-3	4/4	1	0							9
9	9	9	-3	4/4	1	0							10
10	10	10	-3	4/4	1	0							11
11	11	11	-3	4/4	1	0							12
12	12	12	-3	4/4	1	0							13
13	13	13	-3	4/4	1	0							14
14	14	14	-3	4/4	1	0							15
15	15	15	-3	4/4	1	0							16
16	16	16	-3	4/4	1	0							17
17	17	17	-3	4/4	1	0							18
18	18	18	-3	4/4	1	0							19
19	19	19	-3	4/4	1	0							20
20	20	20	-3	4/4	1	0							21
21	21	21	-3	4/4	1	0							22
22	22	22	-3	4/4	1	0							23
23	23	23	-3	4/4	1	0							24
24	24	24	-3	4/4	1	0							25
25	25	25	-3	4/4	1	0							26
26	26	26	-3	4/4	1	0							27
27	27	27	-3	4/4	1	0							28
28	28	28	-3	4/4	1	0							29
29	29	29	-3	4/4	1	0							30
30	30	30	-3	4/4	1	0							31
31	31	31	-3	4/4	1	0							32
32	32	32	-3	4/4	1	0							33
33	33	33	-3	4/4	1	0							34
34	34	34	-3	4/4	1	0							35
35	35	35	-3	4/4	1	0							36
36	36	36	-3	4/4	1	0							37
37	37	37	-3	4/4	1	0							38
38	38	38	-3	4/4	1	0							39
39	39	39	-3	4/4	1	0							40
40	40	40	-3	4/4	1	0							41
41	41	41	-3	4/4	1	0							42
42	42	42	-3	4/4	1	0							43
43	43	43	-3	4/4	1	0							44
44	44	44	-3	4/4	1	0							45
45	45	45	-3	4/4	1	0							46
46	46	46	-3	4/4	1	0							47
47	47	47	-3	4/4	1	0							48
48	48	48	-3	4/4	1	0							49
49	49	49	-3	4/4	1	0							50
50	50	50	-3	4/4	1	0							51
51	51	51	-3	4/4	1	0							52
52	52	52	-3	4/4	1	0							53
53	53	53	-3	4/4	1	0							54
54	54	54	-3	4/4	1	0							55
55	55	55	-3	4/4	1	0							56
56	56	56	-3	4/4	1	0							57
57	57	57	-3	4/4	1	0							58
58	58	58	-3	4/4	1	0							59
59	59	59	-3	4/4	1	0							60
60	60	60	-3	4/4	1	0							61
61	61	61	-3	4/4	1	0							62
62	62	62	-3	4/4	1	0							63
63	63	63	-3	4/4	1	0							64
64	64	64	-3	4/4	1	0							65
65	65	65	-3	4/4	1	0							66
66	66	66	-3	4/4	1	0							67
67	67	67	-3	4/4	1	0							68
68	68	68	-3	4/4	1	0							69
69	69	69	-3	4/4	1	0							70
70	70	70	-3	4/4	1	0							71
71	71	71	-3	4/4	1	0							72
72	72	72	-3	4/4	1	0							73
73	73	73	-3	4/4	1	0							74
74	74	74	-3	4/4	1	0						end	1, 75
1	1	75	-3	4/4	1	0						firstMeasure	2
2	2	76	-3	4/4	1	0							3
3	3	77	-3	4/4	1	0							4
4	4	78	-3	4/4	1	0							5
5	5	79	-3	4/4	1	0							6
6	6	80	-3	4/4	1	0							7
7	7	81	-3	4/4	1	0							8
8	8	82	-3	4/4	1	0							9
9	9	83	-3	4/4	1	0							10
10	10	84	-3	4/4	1	0							11
11	11	85	-3	4/4	1	0							12
12	12	86	-3	4/4	1	0							13
13	13	87	-3	4/4	1	0							14
14	14	88	-3	4/4	1	0							15
15	15	89	-3	4/4	1	0							16
16	16	90	-3	4/4	1	0							17
17	17	91	-3	4/4	1	0							18
18	18	92	-3	4/4	1	0							19
19	19	93	-3	4/4	1	0							20
20	20	94	-3	4/4	1	0							21
21	21	95	-3	4/4	1	0							22
22	22	96	-3	4/4	1	0							23
23	23	97	-3	4/4	1	0							24
24	24	98	-3	4/4	1	0							25
25	25	99	-3	4/4	1	0							26
26	26	100	-3	4/4	1	0							27
27	27	101	-3	4/4	1	0							28
28	28	102	-3	4/4	1	0							29
29	29	103	-3	4/4	1	0							30
30	30	104	-3	4/4	1	0							31
31	31	105	-3	4/4	1	0							32
32	32	106	-3	4/4	1	0							33
33	33	107	-3	4/4	1	0							34
34	34	108	-3	4/4	1	0							35
35	35	109	-3	4/4	1	0							36
36	36	110	-3	4/4	1	0							37
37	37	111	-3	4/4	1	0							38
38	38	112	-3	4/4	1	0							39
39	39	113	-3	4/4	1	0							40
40	40	114	-3	4/4	1	0							41
41	41	115	-3	4/4	1	0							42
42	42	116	-3	4/4	1	0							43
43	43	117	-3	4/4	1	0							44
44	44	118	-3	4/4	1	0							45
45	45	119	-3	4/4	1	0							46
46	46	120	-3	4/4	1	0							47
47	47	121	-3	4/4	1	0							48
48	48	122	-3	4/4	1	0							49
49	49	123	-3	4/4	1	0							50
50	50	124	-3	4/4	1	0							51
51	51	125	-3	4/4	1	0							52
52	52	126	-3	4/4	1	0							53
53	53	127	-3	4/4	1	0							54
54	54	128	-3	4/4	1	0							55
55	55	129	-3	4/4	1	0							56
56	56	130	-3	4/4	1	0							57
57	57	131	-3	4/4	1	0							58
58	58	132	-3	4/4	1	0							59
59	59	133	-3	4/4	1	0							60
60	60	134	-3	4/4	1	0							61
61	61	135	-3	4/4	1	0							62
62	62	136	-3	4/4	1	0							63
63	63	137	-3	4/4	1	0							64
64	64	138	-3	4/4	1	0							65
65	65	139	-3	4/4	1	0							66
66	66	140	-3	4/4	1	0							67
67	67	141	-3	4/4	1	0							68
68	68	142	-3	4/4	1	0							69
69	69	143	-3	4/4	1	0							70
70	70	144	-3	4/4	1	0							71
71	71	145	-3	4/4	1	0							72
72	72	146	-3	4/4	1	0							73
73	73	147	-3	4/4	1	0							74
74	74	148	-3	4/4	1	0						end	1, 75
75	75	149	-3	4/4	1	0						start	76
76	76	150	-3	4/4	1	0							77
77	77	151	-3	4/4	1	0							78
78	78	152	-3	4/4	1	0							79
79	79	153	-3	4/4	1	0							80
80	80	154	-3	4/4	1	0							81
81	81	155	-3	4/4	1	0							82
82	82	156	-3	4/4	1	0							83
83	83	157	-3	4/4	1	0							84
84	84	158	-3	4/4	1	0							85
85	85	159	-3	4/4	1	0							86
86	86	160	-3	4/4	1	0							87
87	87	161	-3	4/4	1	0							88
88	88	162	-3	4/4	1	0							89
89	89	163	-3	4/4	1	0							90
90	90	164	-3	4/4	1	0							91
91	91	165	-3	4/4	1	0							92
92	92	166	-3	4/4	1	0							93
93	93	167	-3	4/4	1	0							94
94	94	168	-3	4/4	1	0							95
95	95	169	-3	4/4	1	0							96
96	96	170	-3	4/4	1	0							97
97	97	171	-3	4/4	1	0							98
98	98	172	-3	4/4	1	0							99
99	99	173	-3	4/4	1	0							100
100	100	174	-3	4/4	1	0							101
101	101	175	-3	4/4	1	0							102
102	102	176	-3	4/4	1	0							103
103	103	177	-3	4/4	1	0							104
104	104	178	-3	4/4	1	0							105
105	105	179	-3	4/4	1	0							106
106	106	180	-3	4/4	1	0							107
107	107	181	-3	4/4	1	0							108
