mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	3	6/8	3/4	0						firstMeasure	2
2	2	2	3	6/8	3/4	0							3
3	3	3	3	6/8	3/4	0							4
4	4	4	3	6/8	3/4	0							5
5	5	5	3	6/8	3/4	0							6
6	6	6	3	6/8	3/4	0							7
7	7	7	3	6/8	3/4	0							8
8	8	8	3	6/8	3/4	0					line	end	1, 9
1	1	9	3	6/8	3/4	0						firstMeasure	2
2	2	10	3	6/8	3/4	0							3
3	3	11	3	6/8	3/4	0							4
4	4	12	3	6/8	3/4	0							5
5	5	13	3	6/8	3/4	0							6
6	6	14	3	6/8	3/4	0							7
7	7	15	3	6/8	3/4	0							8
8	8	16	3	6/8	3/4	0					line	end	1, 9
9	9	17	3	6/8	3/4	0				start-repeat		start	10
10	10	18	3	6/8	3/4	0							11
11	11	19	3	6/8	3/4	0							12
12	12	20	3	6/8	3/4	0							13
13	13	21	3	6/8	3/4	0							14
14	14	22	3	6/8	3/4	0							15
15	15	23	3	6/8	3/4	0							16
16	16	24	3	6/8	3/4	0							17
17	17	25	3	6/8	3/4	0							18
18	18	26	3	6/8	3/4	0						end	9, 19
9	9	27	3	6/8	3/4	0				start-repeat		start	10
10	10	28	3	6/8	3/4	0							11
11	11	29	3	6/8	3/4	0							12
12	12	30	3	6/8	3/4	0							13
13	13	31	3	6/8	3/4	0							14
14	14	32	3	6/8	3/4	0							15
15	15	33	3	6/8	3/4	0							16
16	16	34	3	6/8	3/4	0							17
17	17	35	3	6/8	3/4	0							18
18	18	36	3	6/8	3/4	0						end	9, 19
19	19	37	3	6/8	3/4	0						start	20
20	20	38	3	6/8	3/4	0							21
21	21	39	3	6/8	3/4	0							22
22	22	40	3	6/8	3/4	0							23
23	23	41	3	6/8	3/4	0							24
24	24	42	3	6/8	3/4	0							25
25	25	43	3	6/8	3/4	0							26
26	26	44	3	6/8	3/4	0						end	19, 27
19	19	45	3	6/8	3/4	0						start	20
20	20	46	3	6/8	3/4	0							21
21	21	47	3	6/8	3/4	0							22
22	22	48	3	6/8	3/4	0							23
23	23	49	3	6/8	3/4	0							24
24	24	50	3	6/8	3/4	0							25
25	25	51	3	6/8	3/4	0							26
26	26	52	3	6/8	3/4	0						end	19, 27
27	27	53	3	6/8	3/4	0						start	28
28	28	54	3	6/8	3/4	0							29
29	29	55	3	6/8	3/4	0							30
30	30	56	3	6/8	3/4	0							31
31	31	57	3	6/8	3/4	0							32
32	32	58	3	6/8	3/4	0							33
33	33	59	3	6/8	3/4	0							34
34	34	60	3	6/8	3/4	0							35
35	35	61	3	6/8	3/4	0							36
36	36	62	3	6/8	3/4	0					line	end	27, 37
27	27	63	3	6/8	3/4	0						start	28
28	28	64	3	6/8	3/4	0							29
29	29	65	3	6/8	3/4	0							30
30	30	66	3	6/8	3/4	0							31
31	31	67	3	6/8	3/4	0							32
32	32	68	3	6/8	3/4	0							33
33	33	69	3	6/8	3/4	0							34
34	34	70	3	6/8	3/4	0							35
35	35	71	3	6/8	3/4	0							36
36	36	72	3	6/8	3/4	0					line	end	27, 37
37	37	73	3	6/8	3/4	0				start-repeat		start	38
38	38	74	3	6/8	3/4	0							39
39	39	75	3	6/8	3/4	0							40
40	40	76	3	6/8	3/4	0							41
41	41	77	3	6/8	3/4	0							42
42	42	78	3	6/8	3/4	0							43
43	43	79	3	6/8	3/4	0							44
44	44	80	3	6/8	3/4	0					line	end	37, 45
37	37	81	3	6/8	3/4	0				start-repeat		start	38
38	38	82	3	6/8	3/4	0							39
39	39	83	3	6/8	3/4	0							40
40	40	84	3	6/8	3/4	0							41
41	41	85	3	6/8	3/4	0							42
42	42	86	3	6/8	3/4	0							43
43	43	87	3	6/8	3/4	0							44
44	44	88	3	6/8	3/4	0					line	end	37, 45
45	45	89	3	6/8	3/4	0				start-repeat		start	46
46	46	90	3	6/8	3/4	0							47
47	47	91	3	6/8	3/4	0							48
48	48	92	3	6/8	3/4	0							49
49	49	93	3	6/8	3/4	0							50
50	50	94	3	6/8	3/4	0							51
51	51	95	3	6/8	3/4	0							52
52	52	96	3	6/8	3/4	0							53
53	53	97	3	6/8	3/4	0							54
54	54	98	3	6/8	3/4	0					line	end	45, 55
45	45	99	3	6/8	3/4	0				start-repeat		start	46
46	46	100	3	6/8	3/4	0							47
47	47	101	3	6/8	3/4	0							48
48	48	102	3	6/8	3/4	0							49
49	49	103	3	6/8	3/4	0							50
50	50	104	3	6/8	3/4	0							51
51	51	105	3	6/8	3/4	0							52
52	52	106	3	6/8	3/4	0							53
53	53	107	3	6/8	3/4	0							54
54	54	108	3	6/8	3/4	0					line	end	45, 55
55	55	109	0	6/8	3/4	0				start-repeat		start	56
56	56	110	0	6/8	3/4	0							57
57	57	111	0	6/8	3/4	0							58
58	58	112	0	6/8	3/4	0							59
59	59	113	0	6/8	3/4	0							60
60	60	114	0	6/8	3/4	0							61
61	61	115	0	6/8	3/4	0							62
62	62	116	0	6/8	3/4	0					line	end	55, 63
55	55	117	0	6/8	3/4	0				start-repeat		start	56
56	56	118	0	6/8	3/4	0							57
57	57	119	0	6/8	3/4	0							58
58	58	120	0	6/8	3/4	0							59
59	59	121	0	6/8	3/4	0							60
60	60	122	0	6/8	3/4	0							61
61	61	123	0	6/8	3/4	0							62
62	62	124	0	6/8	3/4	0					line	end	55, 63
63	63	125	0	6/8	3/4	0				start-repeat		start	64
64	64	126	0	6/8	3/4	0							65
65	65	127	0	6/8	3/4	0							66
66	66	128	0	6/8	3/4	0							67
67	67	129	0	6/8	3/4	0							68
68	68	130	0	6/8	3/4	0							69
69	69	131	0	6/8	3/4	0							70
70	70	132	0	6/8	3/4	0							71
71	71	133	0	6/8	3/4	0							72
72	72	134	0	6/8	3/4	0					line	end	63, 73
63	63	135	0	6/8	3/4	0				start-repeat		start	64
64	64	136	0	6/8	3/4	0							65
65	65	137	0	6/8	3/4	0							66
66	66	138	0	6/8	3/4	0							67
67	67	139	0	6/8	3/4	0							68
68	68	140	0	6/8	3/4	0							69
69	69	141	0	6/8	3/4	0							70
70	70	142	0	6/8	3/4	0							71
71	71	143	0	6/8	3/4	0							72
72	72	144	0	6/8	3/4	0					line	end	63, 73
73	73	145	3	6/8	3/4	0				start-repeat		start	74
74	74	146	3	6/8	3/4	0							75
75	75	147	3	6/8	3/4	0							76
76	76	148	3	6/8	3/4	0							77
77	77	149	3	6/8	3/4	0							78
78	78	150	3	6/8	3/4	0							79
79	79	151	3	6/8	3/4	0							80
80	80	152	3	6/8	3/4	0					line	end	73, 81
73	73	153	3	6/8	3/4	0				start-repeat		start	74
74	74	154	3	6/8	3/4	0							75
75	75	155	3	6/8	3/4	0							76
76	76	156	3	6/8	3/4	0							77
77	77	157	3	6/8	3/4	0							78
78	78	158	3	6/8	3/4	0							79
79	79	159	3	6/8	3/4	0							80
80	80	160	3	6/8	3/4	0					line	end	73, 81
81	81	161	3	6/8	3/4	0				start-repeat		start	82
82	82	162	3	6/8	3/4	0							83
83	83	163	3	6/8	3/4	0							84
84	84	164	3	6/8	3/4	0							85
85	85	165	3	6/8	3/4	0							86
86	86	166	3	6/8	3/4	0							87
87	87	167	3	6/8	3/4	0							88
88	88	168	3	6/8	3/4	0							89
89	89	169	3	6/8	3/4	0							90
90	90	170	3	6/8	3/4	0					line	end	81, 91
81	81	171	3	6/8	3/4	0				start-repeat		start	82
82	82	172	3	6/8	3/4	0							83
83	83	173	3	6/8	3/4	0							84
84	84	174	3	6/8	3/4	0							85
85	85	175	3	6/8	3/4	0							86
86	86	176	3	6/8	3/4	0							87
87	87	177	3	6/8	3/4	0							88
88	88	178	3	6/8	3/4	0							89
