mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	2/4	1/8	3/8			1			firstMeasure	2
2	1	1	0	2/4	1/2	0							3
3	2	2	0	2/4	1/2	0							4
4	3	3	0	2/4	1/2	0							5
5	4	4	0	2/4	1/2	0							6
6	5	5	0	2/4	1/2	0					line		7
7	6	6	0	2/4	1/2	0							8
8	7	7	0	2/4	1/2	0							9
9	8	8	0	2/4	1/2	0							10
10	9	9	0	2/4	1/2	0							11
11	10	10	0	2/4	1/2	0							12
12	11	11	0	2/4	1/2	0					line		13
13	12	12	0	2/4	1/2	0							14
14	13	13	0	2/4	1/2	0							15
15	14	14	0	2/4	1/2	0							16
16	15	15	0	2/4	1/2	0							17
17	16	16	0	2/4	1/2	0							18
18	17	17	0	2/4	1/2	0					line		19
19	18	18	0	2/4	1/2	0							20
20	19	19	0	2/4	1/2	0							21
21	20	20	0	2/4	1/2	0							22
22	21	21	0	2/4	1/2	0							23
23	22	22	0	2/4	1/2	0							24
24	23	23	0	2/4	1/2	0					line		25
25	24	24	0	2/4	1/2	0							26
26	25	25	0	2/4	1/2	0							27
27	26	26	0	2/4	1/2	0							28
28	27	27	0	2/4	1/2	0							29
29	28	28	0	2/4	1/2	0							30
30	29	29	0	2/4	1/2	0					page		31
31	30	30	0	2/4	1/2	0							32
32	31	31	0	2/4	1/2	0							33
33	32	32	0	2/4	1/2	0							34
34	33	33	0	2/4	1/2	0							35
35	34	34	0	2/4	1/2	0							36
36	35	35	0	2/4	1/2	0					line		37
37	36	36	0	2/4	1/2	0							38
38	37	37	0	2/4	1/2	0							39
39	38	38	0	2/4	1/2	0							40
40	39	39	0	2/4	1/2	0							41
41	40	40	0	2/4	1/2	0							42
42	41	41	0	2/4	1/2	0					line		43
43	42	42	0	2/4	1/2	0							44
44	43	43	0	2/4	1/2	0							45
45	44	44	0	2/4	1/2	0							46
46	45	45	0	2/4	1/2	0							47
47	46	46	0	2/4	1/2	0							48
48	47	47	0	2/4	1/2	0							49
49	48	48	0	2/4	1/2	0							50
50	49	49	0	2/4	1/2	0							51
51	50	50	0	2/4	1/2	0							52
52	51	51	0	2/4	1/2	0							53
53	52	52	0	2/4	1/2	0							54
54	53	53	0	2/4	1/2	0							55
55	54	54	0	2/4	1/2	0							56
56	55	55	0	2/4	1/2	0							57
57	56	56	0	2/4	3/8	0						end	1, 58
1	0	56	0	2/4	1/8	3/8			1			firstMeasure	2
2	1	57	0	2/4	1/2	0							3
3	2	58	0	2/4	1/2	0							4
4	3	59	0	2/4	1/2	0							5
5	4	60	0	2/4	1/2	0							6
6	5	61	0	2/4	1/2	0					line		7
7	6	62	0	2/4	1/2	0							8
8	7	63	0	2/4	1/2	0							9
9	8	64	0	2/4	1/2	0							10
10	9	65	0	2/4	1/2	0							11
11	10	66	0	2/4	1/2	0							12
12	11	67	0	2/4	1/2	0					line		13
13	12	68	0	2/4	1/2	0							14
14	13	69	0	2/4	1/2	0							15
15	14	70	0	2/4	1/2	0							16
16	15	71	0	2/4	1/2	0							17
17	16	72	0	2/4	1/2	0							18
18	17	73	0	2/4	1/2	0					line		19
19	18	74	0	2/4	1/2	0							20
20	19	75	0	2/4	1/2	0							21
21	20	76	0	2/4	1/2	0							22
22	21	77	0	2/4	1/2	0							23
23	22	78	0	2/4	1/2	0							24
24	23	79	0	2/4	1/2	0					line		25
25	24	80	0	2/4	1/2	0							26
26	25	81	0	2/4	1/2	0							27
27	26	82	0	2/4	1/2	0							28
28	27	83	0	2/4	1/2	0							29
29	28	84	0	2/4	1/2	0							30
30	29	85	0	2/4	1/2	0					page		31
31	30	86	0	2/4	1/2	0							32
32	31	87	0	2/4	1/2	0							33
33	32	88	0	2/4	1/2	0							34
34	33	89	0	2/4	1/2	0							35
35	34	90	0	2/4	1/2	0							36
36	35	91	0	2/4	1/2	0					line		37
37	36	92	0	2/4	1/2	0							38
38	37	93	0	2/4	1/2	0							39
39	38	94	0	2/4	1/2	0							40
40	39	95	0	2/4	1/2	0							41
41	40	96	0	2/4	1/2	0							42
42	41	97	0	2/4	1/2	0					line		43
43	42	98	0	2/4	1/2	0							44
44	43	99	0	2/4	1/2	0							45
45	44	100	0	2/4	1/2	0							46
46	45	101	0	2/4	1/2	0							47
47	46	102	0	2/4	1/2	0							48
48	47	103	0	2/4	1/2	0							49
49	48	104	0	2/4	1/2	0							50
50	49	105	0	2/4	1/2	0							51
51	50	106	0	2/4	1/2	0							52
52	51	107	0	2/4	1/2	0							53
53	52	108	0	2/4	1/2	0							54
54	53	109	0	2/4	1/2	0							55
55	54	110	0	2/4	1/2	0							56
56	55	111	0	2/4	1/2	0							57
57	56	112	0	2/4	3/8	0						end	1, 58
58	56	112	0	2/4	1/8	3/8			1			start	59
59	57	113	0	2/4	1/2	0							60
60	58	114	0	2/4	1/2	0							61
61	59	115	0	2/4	1/2	0							62
62	60	116	0	2/4	1/2	0							63
63	61	117	0	2/4	1/2	0							64
64	62	118	0	2/4	1/2	0							65
65	63	119	0	2/4	1/2	0							66
66	64	120	0	2/4	1/2	0					page		67
67	65	121	0	2/4	1/2	0							68
68	66	122	0	2/4	1/2	0							69
69	67	123	0	2/4	1/2	0							70
70	68	124	0	2/4	1/2	0							71
