mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	-1	3/4	3/8	3/8			1			firstMeasure	2
2	1	1	-1	3/4	3/4	0							3
3	2	2	-1	3/4	3/4	0							4
4	3	3	-1	3/4	3/4	0							5
5	4	4	-1	3/4	3/4	0							6
6	5	5	-1	3/4	3/4	0							7
7	6	6	-1	3/4	3/4	0							8
8	7	7	-1	3/4	3/4	0							9
9	8	8	-1	3/4	3/8	0						end	1, 10
1	0	8	-1	3/4	3/8	3/8			1			firstMeasure	2
2	1	9	-1	3/4	3/4	0							3
3	2	10	-1	3/4	3/4	0							4
4	3	11	-1	3/4	3/4	0							5
5	4	12	-1	3/4	3/4	0							6
6	5	13	-1	3/4	3/4	0							7
7	6	14	-1	3/4	3/4	0							8
8	7	15	-1	3/4	3/4	0							9
9	8	16	-1	3/4	3/8	0						end	1, 10
10	8	16	-1	3/4	3/8	3/8			1	start-repeat		start	11
11	9	17	-1	3/4	3/4	0							12
12	10	18	-1	3/4	3/4	0							13
13	11	19	-1	3/4	3/4	0							14
14	12	20	-1	3/4	3/4	0							15
15	13	21	-1	3/4	3/4	0							16
16	14	22	-1	3/4	3/4	0							17
17	15	23	-1	3/4	3/4	0							18
18	16	24	-1	3/4	3/4	0							19
19	17	25	-1	3/4	3/4	0							20
20	18	26	-1	3/4	3/4	0							21
21	19	27	-1	3/4	3/4	0							22
22	20	28	-1	3/4	3/8	0						end	10, 23
10	8	28	-1	3/4	3/8	3/8			1	start-repeat		start	11
11	9	29	-1	3/4	3/4	0							12
12	10	30	-1	3/4	3/4	0							13
13	11	31	-1	3/4	3/4	0							14
14	12	32	-1	3/4	3/4	0							15
15	13	33	-1	3/4	3/4	0							16
16	14	34	-1	3/4	3/4	0							17
17	15	35	-1	3/4	3/4	0							18
18	16	36	-1	3/4	3/4	0							19
19	17	37	-1	3/4	3/4	0							20
20	18	38	-1	3/4	3/4	0							21
21	19	39	-1	3/4	3/4	0							22
22	20	40	-1	3/4	3/8	0						end	10, 23
23	20	40	-4	3/4	3/8	3/8			1			start	24
24	21	41	-4	3/4	3/4	0							25
25	22	42	-4	3/4	3/4	0							26
26	23	43	-4	3/4	3/4	0							27
27	24	44	-4	3/4	3/4	0							28
28	25	45	-4	3/4	3/4	0							29
29	26	46	-4	3/4	3/4	0							30
30	27	47	-4	3/4	3/4	0							31
31	28	48	-4	3/4	3/8	0						end	23, 32
23	20	48	-4	3/4	3/8	3/8			1			start	24
24	21	49	-4	3/4	3/4	0							25
25	22	50	-4	3/4	3/4	0							26
26	23	51	-4	3/4	3/4	0							27
27	24	52	-4	3/4	3/4	0							28
28	25	53	-4	3/4	3/4	0							29
29	26	54	-4	3/4	3/4	0							30
30	27	55	-4	3/4	3/4	0							31
31	28	56	-4	3/4	3/8	0						end	23, 32
32	28	56	-4	3/4	3/8	3/8			1			start	33
33	29	57	-4	3/4	3/4	0							34
34	30	58	-4	3/4	3/4	0							35
35	31	59	-4	3/4	3/4	0							36
36	32	60	-4	3/4	3/4	0							37
37	33	61	-4	3/4	3/4	0							38
38	34	62	-4	3/4	3/4	0							39
39	35	63	-4	3/4	3/4	0							40
40	36	64	-4	3/4	3/8	0						end	32, 41
32	28	64	-4	3/4	3/8	3/8			1			start	33
33	29	65	-4	3/4	3/4	0							34
34	30	66	-4	3/4	3/4	0							35
35	31	67	-4	3/4	3/4	0							36
36	32	68	-4	3/4	3/4	0							37
37	33	69	-4	3/4	3/4	0							38
38	34	70	-4	3/4	3/4	0							39
39	35	71	-4	3/4	3/4	0							40
40	36	72	-4	3/4	3/8	0						end	32, 41
41	36	72	-4	3/4	3/8	3/8		-1					42
42	37	73	-4	3/4	3/4	0							43
43	38	74	-4	3/4	3/4	0							44
44	39	75	-4	3/4	3/4	0							45
45	40	76	-4	3/4	3/8	0				double			46
46	40	76	-1	3/4	3/8	3/8			1				47
47	41	77	-1	3/4	3/4	0							48
48	42	78	-1	3/4	3/4	0							49
49	43	79	-1	3/4	3/4	0							50
50	44	80	-1	3/4	3/4	0							51
51	45	81	-1	3/4	3/4	0							52
52	46	82	-1	3/4	3/4	0							53
53	47	83	-1	3/4	3/4	0							54
54	48	84	-1	3/4	3/4	0							55
55	49	85	-1	3/4	3/4	0							56
56	50	86	-1	3/4	3/4	0							57
57	51	87	-1	3/4	3/4	0							58
58	52	88	-1	3/4	3/4	0							59
59	53	89	-1	3/4	3/4	0							60
60	54	90	-1	3/4	3/4	0							61
61	55	91	-1	3/4	3/4	0							62
62	56	92	-1	3/4	3/4	0							63
63	57	93	-1	3/4	3/4	0							64
64	58	94	-1	3/4	3/4	0							65
65	59	95	-1	3/4	3/4	0							66
66	60	96	-1	3/4	3/4	0							67
67	61	97	-1	3/4	3/4	0							68
68	62	98	-1	3/4	3/4	0							69
69	63	99	-1	3/4	3/4	0							70
70	64	100	-1	3/4	3/8	0				end		lastMeasure	-1
