mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	0	4/4	1	0						firstMeasure	2
2	2	2	0	4/4	1	0							3
3	3	3	0	4/4	1	0							4
4	4	4	0	4/4	1	0					line		5
5	5	5	0	4/4	1	0							6
6	6	6	0	4/4	1	0							7
7	7	7	0	4/4	1	0							8
8	8	8	0	4/4	1	0					line		9
9	9	9	0	4/4	1	0							10
10	10	10	0	4/4	1	0							11
11	11	11	0	4/4	1	0							12
12	12	12	0	4/4	1	0					line		13
13	13	13	0	4/4	1	0							14
14	14	14	0	4/4	1	0							15
15	15	15	0	4/4	1	0							16
16	16	16	0	4/4	1	0					line		17
17	17	17	0	4/4	1	0							18
18	18	18	0	4/4	1	0							19
19	19	19	0	4/4	1	0					line		20
20	20	20	0	4/4	1	0							21
21	21	21	0	4/4	1	0							22
22	22	22	0	4/4	1	0					line		23
23	23	23	0	4/4	1	0							24
24	24	24	0	4/4	1	0							25
25	25	25	0	4/4	1	0					line		26
26	26	26	0	4/4	1	0							27
27	27	27	0	4/4	1	0							28
28	28	28	0	4/4	1	0					line		29
29	29	29	0	4/4	1	0							30
30	30	30	0	4/4	1	0							31
31	31	31	0	4/4	1	0					line		32
32	32	32	0	4/4	1	0							33
33	33	33	0	4/4	1	0							34
34	34	34	0	4/4	1	0							35
35	35	35	0	4/4	1	0					line		36
36	36	36	0	4/4	1	0							37
37	37	37	0	4/4	1	0							38
38	38	38	0	4/4	1	0					line		39
39	39	39	0	4/4	1	0							40
40	40	40	0	4/4	1	0							41
41	41	41	0	4/4	1	0					line		42
42	42	42	0	4/4	1	0							43
43	43	43	0	4/4	1	0							44
44	44	44	0	4/4	1	0					line		45
45	45	45	0	4/4	1	0							46
46	46	46	0	4/4	1	0					line		47
47	47	47	0	4/4	1	0							48
48	48	48	0	4/4	1	0							49
49	49	49	0	4/4	1	0					line		50
50	50	50	0	4/4	1	0							51
51	51	51	0	4/4	1	0							52
52	52	52	0	4/4	1	0					line		53
53	53	53	0	4/4	1	0							54
54	54	54	0	4/4	1	0							55
55	55	55	0	4/4	1	0					line		56
56	56	56	0	4/4	1	0							57
57	57	57	0	4/4	1	0							58
58	58	58	0	4/4	1	0					line	end	1, 59
1	1	59	0	4/4	1	0						firstMeasure	2
2	2	60	0	4/4	1	0							3
3	3	61	0	4/4	1	0							4
4	4	62	0	4/4	1	0					line		5
5	5	63	0	4/4	1	0							6
6	6	64	0	4/4	1	0							7
7	7	65	0	4/4	1	0							8
8	8	66	0	4/4	1	0					line		9
9	9	67	0	4/4	1	0							10
10	10	68	0	4/4	1	0							11
11	11	69	0	4/4	1	0							12
12	12	70	0	4/4	1	0					line		13
13	13	71	0	4/4	1	0							14
14	14	72	0	4/4	1	0							15
15	15	73	0	4/4	1	0							16
16	16	74	0	4/4	1	0					line		17
17	17	75	0	4/4	1	0							18
18	18	76	0	4/4	1	0							19
19	19	77	0	4/4	1	0					line		20
20	20	78	0	4/4	1	0							21
21	21	79	0	4/4	1	0							22
22	22	80	0	4/4	1	0					line		23
23	23	81	0	4/4	1	0							24
24	24	82	0	4/4	1	0							25
25	25	83	0	4/4	1	0					line		26
26	26	84	0	4/4	1	0							27
