mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	-3	3/8	3/8	0						firstMeasure	2
2	2	2	-3	3/8	3/8	0							3
3	3	3	-3	3/8	3/8	0							4
4	4	4	-3	3/8	3/8	0							5
5	5	5	-3	3/8	3/8	0							6
6	6	6	-3	3/8	3/8	0							7
7	7	7	-3	3/8	3/8	0							8
8	8	8	-3	3/8	3/8	0							9
9	9	9	-3	3/8	3/8	0							10
10	10	10	-3	3/8	3/8	0							11
11	11	11	-3	3/8	3/8	0							12
12	12	12	-3	3/8	3/8	0							13
13	13	13	-3	3/8	3/8	0							14
14	14	14	-3	3/8	3/8	0							15
15	15	15	-3	3/8	3/8	0							16
16	16	16	-3	3/8	3/8	0							17
17	17	17	-3	3/8	3/8	0							18
18	18	18	-3	3/8	3/8	0							19
19	19	19	-3	3/8	3/8	0							20
20	20	20	-3	3/8	3/8	0							21
21	21	21	-3	3/8	3/8	0							22
22	22	22	-3	3/8	3/8	0							23
23	23	23	-3	3/8	3/8	0							24
24	24	24	-3	3/8	3/8	0							25
25	25	25	-3	3/8	3/8	0							26
26	26	26	-3	3/8	3/8	0							27
27	27	27	-3	3/8	3/8	0							28
28	28	28	-3	3/8	3/8	0							29
29	29	29	-3	3/8	3/8	0							30
30	30	30	-3	3/8	3/8	0							31
31	31	31	-3	3/8	3/8	0							32
32	32	32	-3	3/8	3/8	0							33
33	33	33	-3	3/8	3/8	0							34
34	34	34	-3	3/8	3/8	0							35
35	35	35	-3	3/8	3/8	0							36
36	36	36	-3	3/8	3/8	0							37
37	37	37	-3	3/8	3/8	0							38
38	38	38	-3	3/8	3/8	0							39
39	39	39	-3	3/8	3/8	0							40
40	40	40	-3	3/8	3/8	0							41
41	41	41	-3	3/8	3/8	0							42
42	42	42	-3	3/8	3/8	0							43
43	43	43	-3	3/8	3/8	0							44
44	44	44	-3	3/8	3/8	0							45
45	45	45	-3	3/8	3/8	0							46
46	46	46	-3	3/8	3/8	0						end	1, 47
1	1	47	-3	3/8	3/8	0						firstMeasure	2
2	2	48	-3	3/8	3/8	0							3
3	3	49	-3	3/8	3/8	0							4
4	4	50	-3	3/8	3/8	0							5
5	5	51	-3	3/8	3/8	0							6
6	6	52	-3	3/8	3/8	0							7
7	7	53	-3	3/8	3/8	0							8
8	8	54	-3	3/8	3/8	0							9
9	9	55	-3	3/8	3/8	0							10
10	10	56	-3	3/8	3/8	0							11
11	11	57	-3	3/8	3/8	0							12
12	12	58	-3	3/8	3/8	0							13
13	13	59	-3	3/8	3/8	0							14
14	14	60	-3	3/8	3/8	0							15
15	15	61	-3	3/8	3/8	0							16
16	16	62	-3	3/8	3/8	0							17
17	17	63	-3	3/8	3/8	0							18
18	18	64	-3	3/8	3/8	0							19
19	19	65	-3	3/8	3/8	0							20
20	20	66	-3	3/8	3/8	0							21
21	21	67	-3	3/8	3/8	0							22
22	22	68	-3	3/8	3/8	0							23
23	23	69	-3	3/8	3/8	0							24
24	24	70	-3	3/8	3/8	0							25
25	25	71	-3	3/8	3/8	0							26
26	26	72	-3	3/8	3/8	0							27
27	27	73	-3	3/8	3/8	0							28
28	28	74	-3	3/8	3/8	0							29
