mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	-3	2/4	1/8	3/8			1			firstMeasure	2
2	1	1	-3	2/4	1/2	0							3
3	2	2	-3	2/4	1/2	0							4
4	3	3	-3	2/4	1/2	0							5
5	4	4	-3	2/4	1/2	0							6
6	5	5	-3	2/4	1/2	0							7
7	6	6	-3	2/4	1/2	0							8
8	7	7	-3	2/4	1/2	0							9
9	8	8	-3	2/4	1/2	0							10
10	9	9	-3	2/4	1/2	0							11
11	10	10	-3	2/4	1/2	0							12
12	11	11	-3	2/4	1/2	0							13
13	12	12	-3	2/4	1/2	0							14
14	13	13	-3	2/4	1/2	0							15
15	14	14	-3	2/4	1/2	0							16
16	15	15	-3	2/4	1/2	0							17
17	16	16	-3	2/4	1/2	0							18
18	17	17	-3	2/4	1/2	0							19
19	18	18	-3	2/4	1/2	0							20
20	19	19	-3	2/4	1/2	0							21
21	20	20	-3	2/4	1/2	0							22
22	21	21	-3	2/4	1/2	0							23
23	22	22	-3	2/4	1/2	0							24
24	23	23	-3	2/4	1/2	0							25
25	24	24	-3	2/4	1/2	0							26
26	25	25	-3	2/4	1/2	0							27
27	26	26	-3	2/4	1/2	0							28
28	27	27	-3	2/4	1/2	0							29
29	28	28	-3	2/4	1/2	0							30
30	29	29	-3	2/4	1/2	0							31
31	30	30	-3	2/4	1/2	0							32
32	31	31	-3	2/4	1/2	0							33
33	32	32	-3	2/4	1/2	0							34
34	33	33	-3	2/4	1/2	0							35
35	34	34	-3	2/4	1/2	0							36
36	35	35	-3	2/4	1/2	0							37
37	36	36	-3	2/4	1/2	0							38
38	37	37	-3	2/4	1/2	0							39
39	38	38	-3	2/4	1/2	0							40
40	39	39	-3	2/4	3/8	0						end	1, 41
1	0	39	-3	2/4	1/8	3/8			1			firstMeasure	2
2	1	40	-3	2/4	1/2	0							3
3	2	41	-3	2/4	1/2	0							4
4	3	42	-3	2/4	1/2	0							5
5	4	43	-3	2/4	1/2	0							6
6	5	44	-3	2/4	1/2	0							7
7	6	45	-3	2/4	1/2	0							8
8	7	46	-3	2/4	1/2	0							9
9	8	47	-3	2/4	1/2	0							10
10	9	48	-3	2/4	1/2	0							11
11	10	49	-3	2/4	1/2	0							12
12	11	50	-3	2/4	1/2	0							13
13	12	51	-3	2/4	1/2	0							14
14	13	52	-3	2/4	1/2	0							15
15	14	53	-3	2/4	1/2	0							16
16	15	54	-3	2/4	1/2	0							17
17	16	55	-3	2/4	1/2	0							18
18	17	56	-3	2/4	1/2	0							19
19	18	57	-3	2/4	1/2	0							20
20	19	58	-3	2/4	1/2	0							21
21	20	59	-3	2/4	1/2	0							22
22	21	60	-3	2/4	1/2	0							23
23	22	61	-3	2/4	1/2	0							24
24	23	62	-3	2/4	1/2	0							25
25	24	63	-3	2/4	1/2	0							26
26	25	64	-3	2/4	1/2	0							27
27	26	65	-3	2/4	1/2	0							28
28	27	66	-3	2/4	1/2	0							29
29	28	67	-3	2/4	1/2	0							30
30	29	68	-3	2/4	1/2	0							31
31	30	69	-3	2/4	1/2	0							32
32	31	70	-3	2/4	1/2	0							33
33	32	71	-3	2/4	1/2	0							34
34	33	72	-3	2/4	1/2	0							35
35	34	73	-3	2/4	1/2	0							36
36	35	74	-3	2/4	1/2	0							37
37	36	75	-3	2/4	1/2	0							38
38	37	76	-3	2/4	1/2	0							39
39	38	77	-3	2/4	1/2	0							40
40	39	78	-3	2/4	3/8	0						end	1, 41
41	39	78	-3	2/4	1/8	3/8			1			start	42
42	40	79	-3	2/4	1/2	0							43
43	41	80	-3	2/4	1/2	0							44
44	42	81	-3	2/4	1/2	0							45
45	43	82	-3	2/4	1/2	0							46
46	44	83	-3	2/4	1/2	0							47
47	45	84	-3	2/4	1/2	0							48
48	46	85	-3	2/4	1/2	0							49
49	47	86	-3	2/4	1/2	0							50
50	48	87	-3	2/4	1/2	0							51
51	49	88	-3	2/4	1/2	0							52
52	50	89	-3	2/4	1/2	0							53
53	51	90	-3	2/4	1/2	0							54
54	52	91	-3	2/4	1/2	0							55
55	53	92	-3	2/4	1/2	0							56
56	54	93	-3	2/4	1/2	0							57
57	55	94	-3	2/4	1/2	0							58
58	56	95	-3	2/4	1/2	0							59
59	57	96	-3	2/4	1/2	0							60
60	58	97	-3	2/4	1/2	0							61
61	59	98	-3	2/4	1/2	0							62
62	60	99	-3	2/4	1/2	0							63
63	61	100	-3	2/4	1/2	0							64
64	62	101	-3	2/4	1/2	0							65
65	63	102	-3	2/4	1/2	0							66
66	64	103	-3	2/4	1/2	0							67
67	65	104	-3	2/4	1/2	0							68
68	66	105	-3	2/4	1/2	0							69
69	67	106	-3	2/4	1/2	0							70
70	68	107	-3	2/4	1/2	0							71
71	69	108	-3	2/4	1/2	0							72
72	70	109	-3	2/4	1/2	0							73
73	71	110	-3	2/4	1/2	0							74
74	72	111	-3	2/4	1/2	0							75
75	73	112	-3	2/4	1/2	0							76
76	74	113	-3	2/4	1/2	0							77
77	75	114	-3	2/4	1/2	0							78
78	76	115	-3	2/4	1/2	0							79
79	77	116	-3	2/4	1/2	0							80
80	78	117	-3	2/4	1/2	0							81
81	79	118	-3	2/4	1/2	0							82
82	80	119	-3	2/4	1/2	0							83
83	81	120	-3	2/4	1/2	0							84
84	82	121	-3	2/4	1/2	0							85
85	83	122	-3	2/4	1/2	0							86
86	84	123	-3	2/4	1/2	0							87
87	85	124	-3	2/4	1/2	0							88
88	86	125	-3	2/4	1/2	0							89
89	87	126	-3	2/4	1/2	0							90
90	88	127	-3	2/4	1/2	0							91
91	89	128	-3	2/4	1/2	0							92
92	90	129	-3	2/4	1/2	0							93
93	91	130	-3	2/4	1/2	0							94
94	92	131	-3	2/4	1/2	0							95
95	93	132	-3	2/4	1/2	0							96
96	94	133	-3	2/4	1/2	0							97
97	95	134	-3	2/4	1/2	0							98
98	96	135	-3	2/4	1/2	0							99
99	97	136	-3	2/4	1/2	0							100
100	98	137	-3	2/4	1/2	0							101
101	99	138	-3	2/4	1/2	0							102
102	100	139	-3	2/4	1/2	0							103
103	101	140	-3	2/4	1/2	0							104
104	102	141	-3	2/4	3/8	0				end-repeat		end	41, -1
41	39	141	-3	2/4	1/8	3/8			1			start	42
42	40	142	-3	2/4	1/2	0							43
43	41	143	-3	2/4	1/2	0							44
44	42	144	-3	2/4	1/2	0							45
45	43	145	-3	2/4	1/2	0							46
46	44	146	-3	2/4	1/2	0							47
47	45	147	-3	2/4	1/2	0							48
48	46	148	-3	2/4	1/2	0							49
49	47	149	-3	2/4	1/2	0							50
50	48	150	-3	2/4	1/2	0							51
51	49	151	-3	2/4	1/2	0							52
52	50	152	-3	2/4	1/2	0							53
53	51	153	-3	2/4	1/2	0							54
54	52	154	-3	2/4	1/2	0							55
55	53	155	-3	2/4	1/2	0							56
56	54	156	-3	2/4	1/2	0							57
57	55	157	-3	2/4	1/2	0							58
58	56	158	-3	2/4	1/2	0							59
59	57	159	-3	2/4	1/2	0							60
60	58	160	-3	2/4	1/2	0							61
61	59	161	-3	2/4	1/2	0							62
62	60	162	-3	2/4	1/2	0							63
63	61	163	-3	2/4	1/2	0							64
64	62	164	-3	2/4	1/2	0							65
65	63	165	-3	2/4	1/2	0							66
66	64	166	-3	2/4	1/2	0							67
67	65	167	-3	2/4	1/2	0							68
68	66	168	-3	2/4	1/2	0							69
69	67	169	-3	2/4	1/2	0							70
70	68	170	-3	2/4	1/2	0							71
71	69	171	-3	2/4	1/2	0							72
72	70	172	-3	2/4	1/2	0							73
73	71	173	-3	2/4	1/2	0							74
74	72	174	-3	2/4	1/2	0							75
75	73	175	-3	2/4	1/2	0							76
76	74	176	-3	2/4	1/2	0							77
77	75	177	-3	2/4	1/2	0							78
78	76	178	-3	2/4	1/2	0							79
79	77	179	-3	2/4	1/2	0							80
80	78	180	-3	2/4	1/2	0							81
81	79	181	-3	2/4	1/2	0							82
82	80	182	-3	2/4	1/2	0							83
83	81	183	-3	2/4	1/2	0							84
84	82	184	-3	2/4	1/2	0							85
85	83	185	-3	2/4	1/2	0							86
86	84	186	-3	2/4	1/2	0							87
87	85	187	-3	2/4	1/2	0							88
88	86	188	-3	2/4	1/2	0							89
89	87	189	-3	2/4	1/2	0							90
90	88	190	-3	2/4	1/2	0							91
91	89	191	-3	2/4	1/2	0							92
92	90	192	-3	2/4	1/2	0							93
93	91	193	-3	2/4	1/2	0							94
94	92	194	-3	2/4	1/2	0							95
95	93	195	-3	2/4	1/2	0							96
96	94	196	-3	2/4	1/2	0							97
97	95	197	-3	2/4	1/2	0							98
98	96	198	-3	2/4	1/2	0							99
99	97	199	-3	2/4	1/2	0							100
100	98	200	-3	2/4	1/2	0							101
101	99	201	-3	2/4	1/2	0							102
102	100	202	-3	2/4	1/2	0							103
103	101	203	-3	2/4	1/2	0							104
104	102	204	-3	2/4	3/8	0				end-repeat		end	41, -1
