mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	0	4/4	1	0						firstMeasure	2
2	2	2	0	4/4	1	0					line		3
3	3	3	0	4/4	1	0							4
4	4	4	0	4/4	1	0					line		5
5	5	5	0	4/4	1	0							6
6	6	6	0	4/4	1	0					line		7
7	7	7	0	4/4	1	0							8
8	8	8	0	4/4	1	0					line		9
9	9	9	0	4/4	1	0							10
10	10	10	0	4/4	1	0					line		11
11	11	11	0	4/4	1	0							12
12	12	12	0	4/4	1	0					line		13
13	13	13	0	4/4	1	0							14, 15
14	14	14	0	4/4	1	0	1				line	end	1
1	1	15	0	4/4	1	0						firstMeasure	2
2	2	16	0	4/4	1	0					line		3
3	3	17	0	4/4	1	0							4
4	4	18	0	4/4	1	0					line		5
5	5	19	0	4/4	1	0							6
6	6	20	0	4/4	1	0					line		7
7	7	21	0	4/4	1	0							8
8	8	22	0	4/4	1	0					line		9
9	9	23	0	4/4	1	0							10
10	10	24	0	4/4	1	0					line		11
11	11	25	0	4/4	1	0							12
12	12	26	0	4/4	1	0					line		13
13	13	27	0	4/4	1	0							14, 15
15	14	27	0	4/4	1	0	2		1				16
16	15	28	0	4/4	1	0					line	start	17
17	16	29	0	4/4	1	0							18
18	17	30	0	4/4	1	0					line		19
19	18	31	0	4/4	1	0							20
20	19	32	0	4/4	1	0					line		21
21	20	33	0	4/4	1	0							22
22	21	34	0	4/4	1	0					line		23
23	22	35	0	4/4	1	0							24
24	23	36	0	4/4	1	0					line		25
25	24	37	0	4/4	1	0							26
26	25	38	0	4/4	1	0					line		27
27	26	39	0	4/4	1	0							28
28	27	40	0	4/4	1	0					line		29
29	28	41	0	4/4	1	0							30
30	29	42	0	4/4	1	0					line		31
31	30	43	0	4/4	1	0							32
32	31	44	0	4/4	1	0					line		33
33	32	45	0	4/4	1	0							34
34	33	46	0	4/4	1	0					line		35
35	34	47	0	4/4	1	0							36
36	35	48	0	4/4	1	0					line		37
37	36	49	0	4/4	1	0					line		38, 39
38	37	50	0	4/4	1	0	1					end	16
16	15	51	0	4/4	1	0					line	start	17
17	16	52	0	4/4	1	0							18
18	17	53	0	4/4	1	0					line		19
19	18	54	0	4/4	1	0							20
20	19	55	0	4/4	1	0					line		21
21	20	56	0	4/4	1	0							22
22	21	57	0	4/4	1	0					line		23
23	22	58	0	4/4	1	0							24
24	23	59	0	4/4	1	0					line		25
25	24	60	0	4/4	1	0							26
26	25	61	0	4/4	1	0					line		27
27	26	62	0	4/4	1	0							28
28	27	63	0	4/4	1	0					line		29
29	28	64	0	4/4	1	0							30
30	29	65	0	4/4	1	0					line		31
31	30	66	0	4/4	1	0							32
32	31	67	0	4/4	1	0					line		33
33	32	68	0	4/4	1	0							34
34	33	69	0	4/4	1	0					line		35
35	34	70	0	4/4	1	0							36
36	35	71	0	4/4	1	0					line		37
37	36	72	0	4/4	1	0					line		38, 39
39	37	72	0	4/4	1	0	2		1		line		40
40	38	73	0	4/4	1	0							41
41	39	74	0	4/4	1	0				end	line	lastMeasure	-1
