mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
88	88	152	2	3/4	3/4	0											89
89	89	153	2	3/4	3/4	0											90
90	90	154	2	3/4	3/4	0											91
91	91	155	2	3/4	3/4	0											92
92	92	156	2	3/4	3/4	0											93
93	93	157	2	3/4	3/4	0											94
94	94	158	2	3/4	3/4	0											95
95	95	159	2	3/4	3/4	0											96
96	96	160	2	3/4	3/4	0					line						97
97	97	161	2	3/4	3/4	0											98
98	98	162	2	3/4	3/4	0											99
99	99	163	2	3/4	3/4	0											100, 101
100	100	164	2	3/4	3/4	0	1					end					65
65	65	165	2	3/4	3/4	0											66
66	66	166	2	3/4	3/4	0											67
67	67	167	2	3/4	3/4	0											68
68	68	168	2	3/4	3/4	0											69
69	69	169	2	3/4	3/4	0											70
70	70	170	2	3/4	3/4	0											71
71	71	171	2	3/4	3/4	0											72
72	72	172	2	3/4	3/4	0											73
73	73	173	2	3/4	3/4	0											74
74	74	174	2	3/4	3/4	0											75
75	75	175	2	3/4	3/4	0											76
76	76	176	2	3/4	3/4	0											77
77	77	177	2	3/4	3/4	0											78
78	78	178	2	3/4	3/4	0											79
79	79	179	2	3/4	3/4	0											80
80	80	180	2	3/4	3/4	0											81
81	81	181	2	3/4	3/4	0											82
82	82	182	2	3/4	3/4	0											83
83	83	183	2	3/4	3/4	0											84
84	84	184	2	3/4	3/4	0											85
85	85	185	2	3/4	3/4	0											86
86	86	186	2	3/4	3/4	0											87
87	87	187	2	3/4	3/4	0											88
88	88	188	2	3/4	3/4	0											89
89	89	189	2	3/4	3/4	0											90
90	90	190	2	3/4	3/4	0											91
91	91	191	2	3/4	3/4	0											92
92	92	192	2	3/4	3/4	0											93
93	93	193	2	3/4	3/4	0											94
94	94	194	2	3/4	3/4	0											95
95	95	195	2	3/4	3/4	0											96
96	96	196	2	3/4	3/4	0					line						97
97	97	197	2	3/4	3/4	0											98
98	98	198	2	3/4	3/4	0											99
99	99	199	2	3/4	3/4	0											100, 101
101	100	199	2	3/4	3/4	0	2		1	end		lastMeasure		start		48	1
1	1	200	3	3/4	3/4	0						firstMeasure					2
2	2	201	3	3/4	3/4	0											3
3	3	202	3	3/4	3/4	0											4
4	4	203	3	3/4	3/4	0											5
5	5	204	3	3/4	3/4	0											6
6	6	205	3	3/4	3/4	0											7
7	7	206	3	3/4	3/4	0											8
8	8	207	3	3/4	3/4	0											9
9	9	208	3	3/4	3/4	0											10
10	10	209	3	3/4	3/4	0											11
11	11	210	3	3/4	3/4	0											12
12	12	211	3	3/4	3/4	0											13
13	13	212	3	3/4	3/4	0											14
14	14	213	3	3/4	3/4	0											15
15	15	214	3	3/4	3/4	0											16
16	16	215	3	3/4	3/4	0											17
17	17	216	3	3/4	3/4	0											18
18	18	217	3	3/4	3/4	0						end					1, 19
19	19	218	3	3/4	3/4	0				start-repeat		start					20
20	20	219	3	3/4	3/4	0											21
21	21	220	3	3/4	3/4	0											22
22	22	221	3	3/4	3/4	0											23
23	23	222	3	3/4	3/4	0											24
24	24	223	3	3/4	3/4	0											25
25	25	224	3	3/4	3/4	0											26
26	26	225	3	3/4	3/4	0											27
27	27	226	3	3/4	3/4	0											28
28	28	227	3	3/4	3/4	0											29
29	29	228	3	3/4	3/4	0											30
30	30	229	3	3/4	3/4	0											31
31	31	230	3	3/4	3/4	0											32
32	32	231	3	3/4	3/4	0											33
33	33	232	3	3/4	3/4	0											34
34	34	233	3	3/4	3/4	0											35
35	35	234	3	3/4	3/4	0											36
36	36	235	3	3/4	3/4	0											37
