mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	2/4	1/4	1/4			1			firstMeasure	2
2	1	1	0	2/4	1/2	0							3
3	2	2	0	2/4	1/2	0							4
4	3	3	0	2/4	1/2	0							5
5	4	4	0	2/4	1/2	0							6
6	5	5	0	2/4	1/2	0							7
7	6	6	0	2/4	1/2	0							8
8	7	7	0	2/4	1/2	0							9
9	8	8	0	2/4	1/4	0						end	1, 10
1	0	8	0	2/4	1/4	1/4			1			firstMeasure	2
2	1	9	0	2/4	1/2	0							3
3	2	10	0	2/4	1/2	0							4
4	3	11	0	2/4	1/2	0							5
5	4	12	0	2/4	1/2	0							6
6	5	13	0	2/4	1/2	0							7
7	6	14	0	2/4	1/2	0							8
8	7	15	0	2/4	1/2	0							9
9	8	16	0	2/4	1/4	0						end	1, 10
10	8	16	0	2/4	1/4	1/4			1			start	11
11	9	17	0	2/4	1/2	0							12
12	10	18	0	2/4	1/2	0							13
13	11	19	0	2/4	1/2	0							14
14	12	20	0	2/4	1/2	0							15
15	13	21	0	2/4	1/2	0							16
16	14	22	0	2/4	1/2	0							17
17	15	23	0	2/4	1/2	0							18
18	16	24	0	2/4	1/2	0							19
19	17	25	0	2/4	1/2	0							20
20	18	26	0	2/4	1/2	0							21
21	19	27	0	2/4	1/2	0							22
22	20	28	0	2/4	1/2	0							23
23	21	29	0	2/4	1/2	0							24
24	22	30	0	2/4	1/2	0							25
25	23	31	0	2/4	1/2	0							26
26	24	32	0	2/4	1/4	0						end	10, 27
10	8	32	0	2/4	1/4	1/4			1			start	11
11	9	33	0	2/4	1/2	0							12
12	10	34	0	2/4	1/2	0							13
13	11	35	0	2/4	1/2	0							14
14	12	36	0	2/4	1/2	0							15
15	13	37	0	2/4	1/2	0							16
16	14	38	0	2/4	1/2	0							17
17	15	39	0	2/4	1/2	0							18
18	16	40	0	2/4	1/2	0							19
19	17	41	0	2/4	1/2	0							20
20	18	42	0	2/4	1/2	0							21
21	19	43	0	2/4	1/2	0							22
22	20	44	0	2/4	1/2	0							23
23	21	45	0	2/4	1/2	0							24
24	22	46	0	2/4	1/2	0							25
25	23	47	0	2/4	1/2	0							26
26	24	48	0	2/4	1/4	0						end	10, 27
