mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	2	4/4	1	0						firstMeasure	2
2	2	2	2	4/4	1	0							3
3	3	3	2	4/4	1	0							4
4	4	4	2	4/4	1	0					line		5
5	5	5	2	4/4	1	0							6
6	6	6	2	4/4	1	0							7
7	7	7	2	4/4	1	0					line		8
8	8	8	2	4/4	1	0							9
9	9	9	2	4/4	1	0							10
10	10	10	2	4/4	1	0					line		11
11	11	11	2	4/4	1	0							12
12	12	12	2	4/4	1	0							13
13	13	13	2	4/4	1	0					page		14
14	14	14	2	4/4	1	0							15
15	15	15	2	4/4	1	0							16
16	16	16	2	4/4	1	0					line		17
17	17	17	2	4/4	1	0							18
18	18	18	2	4/4	1	0							19
19	19	19	2	4/4	1	0					line		20
20	20	20	2	4/4	1	0							21
21	21	21	2	4/4	1	0							22
22	22	22	2	4/4	1	0					line		23
23	23	23	2	4/4	1	0							24
24	24	24	2	4/4	1	0							25
25	25	25	2	4/4	1	0					line		26
26	26	26	2	4/4	1	0							27
27	27	27	2	4/4	1	0							28
28	28	28	2	4/4	1	0					line		29
29	29	29	2	4/4	1	0							30
30	30	30	2	4/4	1	0					line		31
31	31	31	2	4/4	1	0							32
32	32	32	2	4/4	1	0					line		33
33	33	33	2	4/4	1	0							34
34	34	34	2	4/4	1	0							35
35	35	35	2	4/4	1	0					line		36
36	36	36	2	4/4	1	0							37
37	37	37	2	4/4	1	0							38
38	38	38	2	4/4	1	0					line		39
39	39	39	2	4/4	1	0							40
40	40	40	2	4/4	1	0							41
41	41	41	2	4/4	1	0					line		42
42	42	42	2	4/4	1	0							43
43	43	43	2	4/4	1	0							44
44	44	44	2	4/4	1	0					line		45
45	45	45	2	4/4	1	0							46
46	46	46	2	4/4	1	0							47
47	47	47	2	4/4	1	0							48
48	48	48	2	4/4	1	0					line		49
49	49	49	2	4/4	1	0							50
50	50	50	2	4/4	1	0							51
51	51	51	2	4/4	1	0					line	end	1, 52
1	1	52	2	4/4	1	0						firstMeasure	2
2	2	53	2	4/4	1	0							3
3	3	54	2	4/4	1	0							4
4	4	55	2	4/4	1	0					line		5
5	5	56	2	4/4	1	0							6
6	6	57	2	4/4	1	0							7
7	7	58	2	4/4	1	0					line		8
8	8	59	2	4/4	1	0							9
9	9	60	2	4/4	1	0							10
10	10	61	2	4/4	1	0					line		11
11	11	62	2	4/4	1	0							12
12	12	63	2	4/4	1	0							13
13	13	64	2	4/4	1	0					page		14
14	14	65	2	4/4	1	0							15
15	15	66	2	4/4	1	0							16
16	16	67	2	4/4	1	0					line		17
17	17	68	2	4/4	1	0							18
18	18	69	2	4/4	1	0							19
19	19	70	2	4/4	1	0					line		20
20	20	71	2	4/4	1	0							21
21	21	72	2	4/4	1	0							22
22	22	73	2	4/4	1	0					line		23
23	23	74	2	4/4	1	0							24
24	24	75	2	4/4	1	0							25
25	25	76	2	4/4	1	0					line		26
26	26	77	2	4/4	1	0							27
27	27	78	2	4/4	1	0							28
28	28	79	2	4/4	1	0					line		29
