mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	-2	2/4	1/2	0						firstMeasure	2
2	2	2	-2	2/4	1/2	0							3
3	3	3	-2	2/4	1/2	0							4
4	4	4	-2	2/4	1/2	0							5
5	5	5	-2	2/4	1/2	0							6
6	6	6	-2	2/4	1/2	0							7
7	7	7	-2	2/4	1/2	0							8
8	8	8	-2	2/4	1/2	0							9
9	9	9	-2	2/4	1/2	0							10
10	10	10	-2	2/4	1/2	0							11
11	11	11	-2	2/4	1/2	0							12
12	12	12	-2	2/4	1/2	0							13
13	13	13	-2	2/4	1/2	0							14
14	14	14	-2	2/4	1/2	0							15
15	15	15	-2	2/4	1/2	0							16
16	16	16	-2	2/4	1/2	0							17
17	17	17	-2	2/4	1/2	0							18
18	18	18	-2	2/4	1/2	0							19
19	19	19	-2	2/4	1/2	0							20
20	20	20	-2	2/4	1/2	0							21
21	21	21	-2	2/4	1/2	0							22
22	22	22	-2	2/4	1/2	0							23
23	23	23	-2	2/4	1/2	0							24
24	24	24	-2	2/4	1/2	0							25
25	25	25	-2	2/4	1/2	0							26
26	26	26	-2	2/4	1/2	0							27
27	27	27	-2	2/4	1/2	0							28
28	28	28	-2	2/4	1/2	0							29
29	29	29	-2	2/4	1/2	0							30
30	30	30	-2	2/4	1/2	0							31
31	31	31	-2	2/4	1/2	0							32
32	32	32	-2	2/4	1/2	0							33
33	33	33	-2	2/4	1/2	0							34
34	34	34	-2	2/4	1/2	0							35
35	35	35	-2	2/4	1/2	0							36
36	36	36	-2	2/4	1/2	0							37
37	37	37	-2	2/4	1/2	0							38
38	38	38	-2	2/4	1/2	0							39
39	39	39	-2	2/4	1/2	0							40
40	40	40	-2	2/4	1/2	0						end	1, 41
1	1	41	-2	2/4	1/2	0						firstMeasure	2
2	2	42	-2	2/4	1/2	0							3
3	3	43	-2	2/4	1/2	0							4
4	4	44	-2	2/4	1/2	0							5
5	5	45	-2	2/4	1/2	0							6
6	6	46	-2	2/4	1/2	0							7
7	7	47	-2	2/4	1/2	0							8
8	8	48	-2	2/4	1/2	0							9
9	9	49	-2	2/4	1/2	0							10
10	10	50	-2	2/4	1/2	0							11
11	11	51	-2	2/4	1/2	0							12
12	12	52	-2	2/4	1/2	0							13
13	13	53	-2	2/4	1/2	0							14
14	14	54	-2	2/4	1/2	0							15
15	15	55	-2	2/4	1/2	0							16
16	16	56	-2	2/4	1/2	0							17
17	17	57	-2	2/4	1/2	0							18
18	18	58	-2	2/4	1/2	0							19
19	19	59	-2	2/4	1/2	0							20
20	20	60	-2	2/4	1/2	0							21
21	21	61	-2	2/4	1/2	0							22
22	22	62	-2	2/4	1/2	0							23
23	23	63	-2	2/4	1/2	0							24
24	24	64	-2	2/4	1/2	0							25
25	25	65	-2	2/4	1/2	0							26
26	26	66	-2	2/4	1/2	0							27
27	27	67	-2	2/4	1/2	0							28
28	28	68	-2	2/4	1/2	0							29
29	29	69	-2	2/4	1/2	0							30
30	30	70	-2	2/4	1/2	0							31
31	31	71	-2	2/4	1/2	0							32
32	32	72	-2	2/4	1/2	0							33
33	33	73	-2	2/4	1/2	0							34
34	34	74	-2	2/4	1/2	0							35
35	35	75	-2	2/4	1/2	0							36
36	36	76	-2	2/4	1/2	0							37
37	37	77	-2	2/4	1/2	0							38
38	38	78	-2	2/4	1/2	0							39
39	39	79	-2	2/4	1/2	0							40
40	40	80	-2	2/4	1/2	0						end	1, 41
41	41	81	-2	2/4	1/2	0				start-repeat		start	42
42	42	82	-2	2/4	1/2	0							43
43	43	83	-2	2/4	1/2	0							44
44	44	84	-2	2/4	1/2	0							45
45	45	85	-2	2/4	1/2	0							46
46	46	86	-2	2/4	1/2	0							47
47	47	87	-2	2/4	1/2	0							48
48	48	88	-2	2/4	1/2	0							49
49	49	89	-2	2/4	1/2	0							50
50	50	90	-2	2/4	1/2	0							51
51	51	91	-2	2/4	1/2	0							52
52	52	92	-2	2/4	1/2	0							53
53	53	93	-2	2/4	1/2	0							54
54	54	94	-2	2/4	1/2	0							55
55	55	95	-2	2/4	1/2	0							56
56	56	96	-2	2/4	1/2	0							57
57	57	97	-2	2/4	1/2	0							58
58	58	98	-2	2/4	1/2	0							59
59	59	99	-2	2/4	1/2	0							60
60	60	100	-2	2/4	1/2	0							61
61	61	101	-2	2/4	1/2	0							62
62	62	102	-2	2/4	1/2	0							63
63	63	103	-2	2/4	1/2	0							64
64	64	104	-2	2/4	1/2	0							65
65	65	105	-2	2/4	1/2	0							66
66	66	106	-2	2/4	1/2	0							67
67	67	107	-2	2/4	1/2	0							68
68	68	108	-2	2/4	1/2	0							69
69	69	109	-2	2/4	1/2	0							70
70	70	110	-2	2/4	1/2	0							71
71	71	111	-2	2/4	1/2	0							72
72	72	112	-2	2/4	1/2	0							73
73	73	113	-2	2/4	1/2	0							74
74	74	114	-2	2/4	1/2	0							75
75	75	115	-2	2/4	1/2	0							76
76	76	116	-2	2/4	1/2	0							77
77	77	117	-2	2/4	1/2	0							78
78	78	118	-2	2/4	1/2	0							79
79	79	119	-2	2/4	1/2	0							80
80	80	120	-2	2/4	1/2	0							81
81	81	121	-2	2/4	1/2	0							82
82	82	122	-2	2/4	1/2	0							83
83	83	123	-2	2/4	1/2	0							84
84	84	124	-2	2/4	1/2	0							85
85	85	125	-2	2/4	1/2	0							86
86	86	126	-2	2/4	1/2	0							87
87	87	127	-2	2/4	1/2	0							88
88	88	128	-2	2/4	1/2	0							89
89	89	129	-2	2/4	1/2	0							90
90	90	130	-2	2/4	1/2	0							91
91	91	131	-2	2/4	1/2	0							92
92	92	132	-2	2/4	1/2	0							93
93	93	133	-2	2/4	1/2	0							94
94	94	134	-2	2/4	1/2	0							95
95	95	135	-2	2/4	1/2	0							96
96	96	136	-2	2/4	1/2	0							97
97	97	137	-2	2/4	1/2	0							98
98	98	138	-2	2/4	1/2	0							99
99	99	139	-2	2/4	1/2	0							100
100	100	140	-2	2/4	1/2	0							101
101	101	141	-2	2/4	1/2	0							102
102	102	142	-2	2/4	1/2	0							103
103	103	143	-2	2/4	1/2	0							104
104	104	144	-2	2/4	1/2	0							105
105	105	145	-2	2/4	1/2	0							106
106	106	146	-2	2/4	1/2	0							107
107	107	147	-2	2/4	1/2	0							108
108	108	148	-2	2/4	1/2	0							109
109	109	149	-2	2/4	1/2	0						end	41, -1
41	41	150	-2	2/4	1/2	0				start-repeat		start	42
42	42	151	-2	2/4	1/2	0							43
43	43	152	-2	2/4	1/2	0							44
44	44	153	-2	2/4	1/2	0							45
45	45	154	-2	2/4	1/2	0							46
46	46	155	-2	2/4	1/2	0							47
47	47	156	-2	2/4	1/2	0							48
48	48	157	-2	2/4	1/2	0							49
49	49	158	-2	2/4	1/2	0							50
50	50	159	-2	2/4	1/2	0							51
51	51	160	-2	2/4	1/2	0							52
52	52	161	-2	2/4	1/2	0							53
53	53	162	-2	2/4	1/2	0							54
54	54	163	-2	2/4	1/2	0							55
55	55	164	-2	2/4	1/2	0							56
56	56	165	-2	2/4	1/2	0							57
57	57	166	-2	2/4	1/2	0							58
58	58	167	-2	2/4	1/2	0							59
59	59	168	-2	2/4	1/2	0							60
60	60	169	-2	2/4	1/2	0							61
61	61	170	-2	2/4	1/2	0							62
62	62	171	-2	2/4	1/2	0							63
63	63	172	-2	2/4	1/2	0							64
64	64	173	-2	2/4	1/2	0							65
65	65	174	-2	2/4	1/2	0							66
66	66	175	-2	2/4	1/2	0							67
67	67	176	-2	2/4	1/2	0							68
68	68	177	-2	2/4	1/2	0							69
69	69	178	-2	2/4	1/2	0							70
70	70	179	-2	2/4	1/2	0							71
71	71	180	-2	2/4	1/2	0							72
72	72	181	-2	2/4	1/2	0							73
73	73	182	-2	2/4	1/2	0							74
74	74	183	-2	2/4	1/2	0							75
75	75	184	-2	2/4	1/2	0							76
76	76	185	-2	2/4	1/2	0							77
77	77	186	-2	2/4	1/2	0							78
78	78	187	-2	2/4	1/2	0							79
79	79	188	-2	2/4	1/2	0							80
80	80	189	-2	2/4	1/2	0							81
81	81	190	-2	2/4	1/2	0							82
82	82	191	-2	2/4	1/2	0							83
83	83	192	-2	2/4	1/2	0							84
84	84	193	-2	2/4	1/2	0							85
85	85	194	-2	2/4	1/2	0							86
86	86	195	-2	2/4	1/2	0							87
87	87	196	-2	2/4	1/2	0							88
88	88	197	-2	2/4	1/2	0							89
89	89	198	-2	2/4	1/2	0							90
90	90	199	-2	2/4	1/2	0							91
91	91	200	-2	2/4	1/2	0							92
92	92	201	-2	2/4	1/2	0							93
93	93	202	-2	2/4	1/2	0							94
94	94	203	-2	2/4	1/2	0							95
95	95	204	-2	2/4	1/2	0							96
96	96	205	-2	2/4	1/2	0							97
97	97	206	-2	2/4	1/2	0							98
98	98	207	-2	2/4	1/2	0							99
99	99	208	-2	2/4	1/2	0							100
100	100	209	-2	2/4	1/2	0							101
101	101	210	-2	2/4	1/2	0							102
102	102	211	-2	2/4	1/2	0							103
103	103	212	-2	2/4	1/2	0							104
104	104	213	-2	2/4	1/2	0							105
105	105	214	-2	2/4	1/2	0							106
106	106	215	-2	2/4	1/2	0							107
107	107	216	-2	2/4	1/2	0							108
108	108	217	-2	2/4	1/2	0							109
109	109	218	-2	2/4	1/2	0						end	41, -1
